  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 355410 TAUBATE
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0202060128 DOSAGEM DE CALCITONINA";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"0202060217 DOSAGEM DE GONADOTROFINA CORIONICA HUMANA (HCG, BETA HCG)";-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"0202060250 DOSAGEM DE HORMONIO TIREOESTIMULANTE (TSH)";-;4;5;10;6;3;7;4;7;12;4;9;9;13;19;8;13;11;1;2;-;-;5;2;1;-;1;4;160
"0202060284 DOSAGEM DE PEPTIDEO C";-;-;1;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"0202060365 DOSAGEM DE TIREOGLOBULINA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202060373 DOSAGEM DE TIROXINA (T4)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202060381 DOSAGEM DE TIROXINA LIVRE (T4 LIVRE)";-;4;4;8;6;3;1;3;6;9;3;8;7;12;14;7;10;10;1;2;-;-;5;1;1;-;1;3;129
"0202070123 DOSAGEM DE BARBITURATOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0202070131 DOSAGEM DE BENZODIAZEPINICOS";-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0202070190 DOSAGEM DE COBRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"0202070352 DOSAGEM DE ZINCO";-;-;-;3;5;4;6;1;3;4;14;2;5;2;3;1;2;2;1;-;-;-;-;-;-;-;-;-;58
"0202080013 ANTIBIOGRAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;4;1;-;3;-;-;3;12;1;-;-;-;-;32
"0202080048 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNOSTICA)";-;-;-;-;2;-;2;-;-;-;-;1;-;-;-;2;2;6;-;-;-;-;-;-;-;-;-;-;15
"0202080056 BACILOSCOPIA DIRETA P/ BAAR (HANSENIASE)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202080072 BACTERIOSCOPIA (GRAM)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"0202080080 CULTURA DE BACTERIAS P/ IDENTIFICACAO";1;18;51;136;224;169;281;56;157;209;331;219;552;616;748;529;363;239;104;55;11;33;150;98;34;6;22;15;5427
"0202080129 CULTURA PARA BACTERIAS ANAEROBICAS";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4
"0202080137 CULTURA PARA IDENTIFICACAO DE FUNGOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;3
"0202080145 EXAME MICROBIOLOGICO A FRESCO (DIRETO)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;3
"0202080153 HEMOCULTURA";2;20;40;100;144;81;164;43;109;92;195;145;299;318;380;266;202;156;66;28;4;20;68;32;16;-;23;8;3021
"0202090051 CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR";-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;4;1;-;-;2;-;-;1;1;-;1;-;-;16
"0202090060 CONTAGEM GLOBAL DE CELULAS NO LIQUOR";-;-;-;-;-;-;-;-;-;-;1;3;1;1;2;4;1;-;-;2;-;-;1;1;-;1;-;-;18
"0202090124 DOSAGEM DE GLICOSE NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;6
"0202090132 DOSAGEM DE PROTEINAS NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;2;-;-;-;2;-;-;-;-;-;-;-;-;9
"0202090140 DOSAGEM DE SODIO E CLORO NO SUOR (C/ COLETA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0202090159 ELETROFORESE DE PROTEINAS C/ CONCENTRACAO NO LIQUOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202090191 MIELOGRAMA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"0202090230 PESQUISA DE CARACTERES FISICOS NO LIQUOR";-;-;-;-;-;-;-;-;-;-;1;3;1;-;2;4;1;-;-;1;-;-;1;1;-;1;-;-;16
"0202090302 PROVA DO LATEX P/ PESQUISA DO FATOR REUMATOIDE";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"0202100022 DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202100030 DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202120023 DETERMINACAO DIRETA E REVERSA DE GRUPO ABO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202120031 FENOTIPAGEM DE SISTEMA RH - HR";-;-;-;-;3;-;25;-;4;6;6;8;23;28;29;11;20;4;2;-;14;13;3;-;-;-;6;-;205
"0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL";-;-;-;-;-;-;3;4;-;-;-;4;8;6;8;3;3;11;-;-;3;-;-;3;-;-;-;4;60
"0203020049 IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204010047 RADIOGRAFIA DE ARCADA ZIGOMATICO-MALAR (AP+ OBLIQUAS)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204010080 RADIOGRAFIA DE CRANIO (PA + LATERAL)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0204010144 RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ)";-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"0204020034 RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO + OBLIQUAS)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"0204020069 RADIOGRAFIA DE COLUNA LOMBO-SACRA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;5
"0204030145 RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA)";-;-;-;1;1;1;1;-;-;3;-;4;13;1;17;3;2;1;-;-;-;1;2;3;-;-;2;-;56
"0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL)";-;-;1;4;10;6;15;2;5;9;17;15;27;27;58;43;41;19;13;4;2;37;94;5;1;-;4;-;459
"0204030170 RADIOGRAFIA DE TORAX (PA)";2;92;175;403;586;311;805;169;404;387;533;349;770;899;1351;860;735;485;206;67;35;51;172;111;83;3;93;40;10177
"0204040019 RADIOGRAFIA DE ANTEBRACO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;3
"0204040027 RADIOGRAFIA DE ARTICULACAO ACROMIO-CLAVICULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"0204040035 RADIOGRAFIA DE ARTICULACAO ESCAPULO-UMERAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"0204040051 RADIOGRAFIA DE BRACO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"0204040124 RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0204050111 RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA)";-;-;-;-;-;-;2;-;-;-;-;1;5;-;-;1;1;-;-;-;-;-;3;-;-;-;-;-;13
"0204050120 RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS)";-;-;-;-;1;-;-;-;-;-;1;1;2;1;-;-;1;1;-;-;-;1;1;-;-;-;-;-;10
"0204050138 RADIOGRAFIA DE ABDOMEN SIMPLES (AP)";-;10;10;26;41;23;69;13;28;30;64;64;141;123;123;96;65;47;17;9;-;3;17;18;6;2;6;4;1055
"0204060060 RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL";-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;-;-;2;-;-;-;-;-;-;-;-;-;1;8
"0204060087 RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;4
"0204060095 RADIOGRAFIA DE BACIA";-;-;-;1;-;1;3;-;-;-;-;-;1;2;-;-;1;1;2;-;-;-;-;-;-;-;-;1;13
"0204060117 RADIOGRAFIA DE COXA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204060168 RADIOGRAFIA DE PERNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;3
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";-;-;3;9;7;3;27;2;6;10;13;14;10;15;8;4;8;8;-;1;-;1;12;2;1;-;2;1;167
"0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS";-;-;-;-;2;3;-;1;3;-;1;2;8;5;6;10;1;5;2;-;-;-;2;-;-;-;1;1;53
"0205020011 ECODOPPLER TRANSCRANIANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;4
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";-;-;-;-;1;1;2;-;1;-;-;3;2;1;4;1;1;1;-;1;1;-;2;1;-;-;-;-;23
"0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO";-;-;-;-;1;1;1;-;-;-;1;1;4;5;1;4;-;2;-;1;-;-;-;-;-;-;1;-;23
"0205020062 ULTRASSONOGRAFIA DE ARTICULACAO";-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;8
"0205020070 ULTRASSONOGRAFIA DE BOLSA ESCROTAL";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";-;-;-;-;-;-;-;-;-;-;3;1;3;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"0205020135 ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA)";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0205020151 ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO";-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;1;-;-;-;1;-;-;1;-;-;-;-;-;8
"0205020186 ULTRASSONOGRAFIA TRANSVAGINAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0206010010 TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0206010028 TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"0206010036 TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES";-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO";-;-;-;5;4;3;1;-;1;-;4;3;12;10;16;9;14;18;4;1;-;4;14;4;-;-;2;-;129
"0206020023 TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS APENDICULARES - (BRACO, ANTEBRACO, MAO, COXA, PERNA, PE)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX";-;2;9;18;10;11;11;2;9;9;13;19;36;30;130;59;149;33;23;7;3;34;50;6;2;1;4;1;681
"0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR";-;-;-;-;1;3;2;-;1;-;1;3;6;1;2;5;4;3;3;2;-;1;1;1;-;-;1;2;43
"0206030029 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;5
"0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR";-;-;-;-;2;3;2;-;1;-;1;3;6;1;1;5;2;2;3;2;-;2;2;1;-;-;1;2;42
"0207010064 RESSONANCIA MAGNETICA DE CRANIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0209010029 COLONOSCOPIA (COLOSCOPIA)";-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0209010037 ESOFAGOGASTRODUODENOSCOPIA";-;-;-;1;1;2;2;1;1;-;1;4;6;4;10;5;1;2;2;1;1;2;4;4;-;-;2;-;57
"0209040017 BRONCOSCOPIA (BRONCOFIBROSCOPIA)";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;1;-;5
"0209040025 LARINGOSCOPIA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0210010010 ANGIOGRAFIA CEREBRAL (4 VASOS)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0210010037 ANGIOGRAFIA DE ARCO AORTICO E TRONCOS SUPRA-AORTICOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"0210010045 AORTOGRAFIA ABDOMINAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0210010070 ARTERIOGRAFIA DE MEMBRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0210010126 ARTERIOGRAFIA PELVICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0210010134 ARTERIOGRAFIA SELETIVA DE CAROTIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0210010150 ARTERIOGRAFIA SELETIVA VERTEBRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0211020036 ELETROCARDIOGRAMA";3;42;45;77;139;72;91;43;74;84;92;107;203;211;419;220;239;40;37;10;3;60;92;18;2;4;6;1;2434
"0211050040 ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO C/ OU S/ FOTOESTIMULO (EEG)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;3
"0211080047 GASOMETRIA (APOS OXIGENIO A 100 DURANTE A DIFUSAO ALVEOLO-CAPILAR)";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0212010026 EXAMES PRE-TRANSFUSIONAIS I";-;8;17;21;31;41;49;1;31;23;54;17;68;87;80;32;32;30;9;12;14;14;18;7;2;-;8;4;710
"0212010034 EXAMES PRE-TRANSFUSIONAIS II";-;8;17;20;28;40;24;1;19;17;40;9;37;58;40;19;12;26;5;5;-;1;14;7;2;-;2;4;455
"0214010015 GLICEMIA CAPILAR";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0214010023 PESQUISA DE CORPOS CETONICOS NA URINA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0214010058 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV";1;1;3;1;1;2;1;1;3;2;4;1;4;10;11;8;5;2;1;1;-;2;5;1;-;-;-;-;71
"0214010074 TESTE RAPIDO PARA SIFILIS";1;1;3;1;1;2;-;1;3;3;1;1;2;10;6;4;1;1;1;1;-;-;3;1;-;-;-;-;48
"0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO)";-;68;113;354;415;167;363;55;150;191;303;285;345;353;374;219;339;172;85;41;12;30;129;40;40;1;23;7;4674
"0301010170 CONSULTA/AVALIACAO EM PACIENTE INTERNADO";-;1;13;34;115;56;133;45;100;105;160;200;417;375;455;266;261;244;80;66;49;84;88;87;32;1;13;17;3497
"0301100047 CATETERISMO VESICAL DE ALIVIO";-;-;-;1;2;1;2;-;-;5;2;1;1;2;1;-;-;-;1;-;-;-;-;2;-;-;-;-;21
"0301100055 CATETERISMO VESICAL DE DEMORA";-;3;8;21;28;22;30;11;14;25;41;28;72;65;189;84;63;28;25;5;-;33;58;11;3;-;5;2;874
"0301100071 CUIDADOS C/ TRAQUEOSTOMIA";-;-;-;-;-;-;28;-;-;33;28;-;43;23;42;49;20;27;-;-;-;-;22;-;-;-;-;-;315
"0301100080 DETERMINACAO DE PRESSAO VENOSA CENTRAL (PVC)";-;-;16;129;187;67;146;18;91;131;216;222;291;232;304;226;140;133;108;29;21;31;50;-;10;-;35;-;2833
"0301100098 ENEMA";-;-;-;1;1;7;1;-;1;-;3;11;1;2;13;7;2;1;1;-;-;-;1;-;1;-;2;-;56
"0301100101 INALACAO / NEBULIZACAO";-;-;-;17;-;6;13;-;4;176;77;116;35;15;150;72;139;57;62;-;70;-;-;7;8;-;14;-;1038
"0301100110 IRRIGACAO VESICAL";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"0301100144 OXIGENOTERAPIA POR DIA";-;-;15;130;217;67;149;18;91;148;223;253;296;229;367;226;168;133;108;29;21;31;50;-;10;-;42;-;3021
"0301100179 SONDAGEM GASTRICA";-;-;-;2;4;1;-;1;-;1;1;5;1;4;77;27;12;6;3;-;-;13;26;5;-;-;-;-;189
"0301100276 CURATIVO ESPECIAL";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0301100284 CURATIVO SIMPLES";-;-;-;-;-;-;9;2;14;48;-;1;45;18;160;77;7;34;6;1;-;-;5;8;-;-;16;-;451
"0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS";-;101;191;725;1292;782;1626;412;1078;1284;1900;1792;3232;3553;4877;3258;1998;1262;567;259;118;278;676;253;184;-;250;60;32008
"0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;14;7;-;-;-;-;27
"0302050019 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO ESQUE";-;-;52;285;463;210;694;118;300;499;775;811;1123;556;1083;721;566;532;332;103;128;128;193;15;49;-;118;-;9854
"0303010223 TRATAMENTO DE INFECCAO PELO CORONAVIRUS ? COVID 19";4;17;44;64;82;50;77;25;56;78;97;135;253;266;524;288;424;75;40;16;6;66;143;25;7;2;6;2;2872
"0305010042 HEMODIALISE CONTINUA";-;-;-;28;6;-;-;6;-;-;-;-;22;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;83
"0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO";-;9;27;34;26;33;37;36;45;53;74;96;154;188;150;84;78;89;28;11;5;16;27;21;6;-;4;-;1331
"0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS";-;25;8;34;29;25;38;5;34;24;54;38;74;114;104;75;32;43;14;8;8;14;34;8;2;-;8;8;860
"0306020076 TRANSFUSAO DE CONCENTRADO DE PLAQUETAS";-;-;2;12;9;16;14;-;18;12;23;-;1;13;14;12;12;6;1;7;-;-;1;-;-;-;-;-;173
"0306020106 TRANSFUSAO DE PLASMA FRESCO";-;-;7;-;-;6;-;-;2;8;1;-;6;18;-;-;3;-;-;-;3;-;-;-;-;-;-;3;57
"0306020122 TRANSFUSAO DE SANGUE / COMPONENTES IRRADIADOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0309010039 GASTROSTOMIA ENDOSCOPICA PERCUTANEA (INCLUI MATERIAL E SEDACAO ANESTESICA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"0309010047 NUTRICAO ENTERAL EM ADULTO";-;46;100;291;336;170;634;111;349;282;490;383;890;933;991;781;572;597;171;90;13;69;180;156;100;-;60;33;8828
"0309010063 NUTRICAO ENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;6
"0309010071 NUTRICAO PARENTERAL EM ADULTO";-;-;-;1;-;-;-;-;-;-;12;5;27;10;-;-;-;18;-;-;-;-;1;-;-;-;51;-;125
"0309010080 NUTRICAO PARENTERAL EM NEONATOLOGIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;6
"0309010098 NUTRICAO PARENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;4
"0309010101 PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)";-;2;2;19;28;20;40;9;18;23;41;43;88;89;91;59;44;27;11;7;1;5;17;10;5;-;3;1;703
"0309060036 INSTALACAO DE CATETER MONO LUMEN POR PUNCAO";-;-;1;5;5;6;11;2;6;4;10;8;7;13;15;7;10;5;5;2;1;2;1;-;1;-;-;-;127
"0401010015 CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO";-;-;-;-;-;1;1;-;-;-;-;-;-;-;9;9;-;-;-;-;-;-;-;-;-;-;-;-;20
"0401010023 CURATIVO GRAU I COM OU SEM DEBRIDAMENTO";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"0401010058 EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
