  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"Total"
"0202030989 PESQUISA DE ANTIGENO E DO VIRUS DA HEPATITE B (HBEAG)";-;-;1;1;1;1;-;-;-;-;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;9
"0202031004 PESQUISA DE CRIOGLOBULINAS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202031012 PESQUISA DE FATOR REUMATOIDE (WAALER-ROSE)";-;-;-;1;-;1;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"0202031047 PESQUISA DE TRYPANOSOMA CRUZI (POR IMUNOFLUORESCENCIA)";-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;5
"0202031098 TESTE TREPONEMICO P/ DETECCAO DE SIFILIS";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202031110 TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS";-;1;2;2;5;3;-;3;-;3;3;4;2;4;1;4;1;3;-;1;-;-;3;6;1;1;-;53
"0202031128 TESTE FTA-ABS IGG P/ DIAGNOSTICO DA SIFILIS";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202031136 TESTE FTA-ABS IGM P/ DIAGNOSTICO DA SIFILIS";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"0202031179 TESTE NAO TREPONEMICO P/ DETECCAO DE SIFILIS EM GESTANTES";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202031276 DOSAGEM DE ADENOSINA-DESAMINASE (ADA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"0202040127 PESQUISA DE OVOS E CISTOS DE PARASITAS";-;1;9;18;22;9;11;3;7;33;30;22;46;31;19;14;2;3;-;-;-;2;12;-;1;-;-;295
"0202040135 PESQUISA DE ROTAVIRUS NAS FEZES";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"0202040143 PESQUISA DE SANGUE OCULTO NAS FEZES";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"0202040160 PESQUISA DE TRIPSINA NAS FEZES";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;3
"0202040178 PESQUISA DE TROFOZOITAS NAS FEZES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"0202050017 ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA";2;5;42;112;102;255;104;119;56;226;189;245;406;346;281;136;132;75;31;8;22;112;159;78;34;33;1;3311
"0202050068 DETERMINACAO DE OSMOLALIDADE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202050092 DOSAGEM DE MICROALBUMINA NA URINA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"0202050114 DOSAGEM DE PROTEINAS (URINA DE 24 HORAS)";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"0202050254 PESQUISA DE GONADOTROFINA CORIONICA";-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;1;-;-;-;-;4;5;2;1;1;-;18
"0202050262 PESQUISA DE HOMOCISTINA NA URINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0202060055 DOSAGEM DE 17-CETOSTEROIDES TOTAIS";-;-;1;1;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;7
"0202060080 DOSAGEM DE ADRENOCORTICOTROFICO (ACTH)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"0202060098 DOSAGEM DE ALDOSTERONA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"0202060128 DOSAGEM DE CALCITONINA";-;1;-;-;-;-;1;-;-;-;-;-;-;1;5;5;-;-;-;-;-;-;16;3;-;-;-;32
"0202060136 DOSAGEM DE CORTISOL";-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;5
"0202060217 DOSAGEM DE GONADOTROFINA CORIONICA HUMANA (HCG, BETA HCG)";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202060225 DOSAGEM DE HORMONIO DE CRESCIMENTO (HGH)";-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"0202060250 DOSAGEM DE HORMONIO TIREOESTIMULANTE (TSH)";-;-;2;3;8;3;3;-;3;3;13;4;11;8;5;3;-;5;-;-;-;1;4;-;1;-;-;80
"0202060284 DOSAGEM DE PEPTIDEO C";-;-;-;-;-;-;2;1;-;-;2;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"0202060314 DOSAGEM DE RENINA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"0202060373 DOSAGEM DE TIROXINA (T4)";-;-;-;2;7;3;1;-;4;2;10;4;8;6;5;2;-;4;-;-;-;-;3;-;-;-;-;61
"0202060390 DOSAGEM DE TRIIODOTIRONINA (T3)";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202070050 DOSAGEM DE ACIDO VALPROICO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0202070123 DOSAGEM DE BARBITURATOS";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"0202070220 DOSAGEM DE FENITOINA";-;-;-;3;1;-;-;-;-;4;2;2;4;5;6;6;-;2;-;-;-;-;6;-;-;-;-;41
"0202070352 DOSAGEM DE ZINCO";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202080013 ANTIBIOGRAMA";-;-;22;45;39;120;40;50;23;96;63;122;185;124;94;72;78;27;21;-;6;64;80;48;13;24;-;1456
"0202080021 ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA";-;21;89;120;142;140;45;27;24;19;194;172;85;252;175;61;94;36;10;26;11;27;43;4;11;-;-;1828
"0202080030 ANTIBIOGRAMA P/ MICOBACTERIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0202080048 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNOSTICA)";-;-;1;-;-;2;10;-;1;3;2;-;2;1;1;2;-;1;-;-;-;-;1;-;-;-;-;27
"0202080064 BACILOSCOPIA DIRETA P/ BAAR TUBERCULOS (CONTROLE)";-;-;-;-;-;-;-;-;-;-;2;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;7
"0202080072 BACTERIOSCOPIA (GRAM)";-;1;2;15;2;19;5;2;1;1;16;13;4;25;16;-;15;2;-;5;2;2;13;2;2;-;-;165
"0202080080 CULTURA DE BACTERIAS P/ IDENTIFICACAO";-;20;91;196;231;422;190;214;83;423;421;579;837;857;605;351;309;129;80;18;31;94;146;97;38;34;-;6496
"0202080110 CULTURA PARA BAAR";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;14;-;-;-;-;18
"0202080137 CULTURA PARA IDENTIFICACAO DE FUNGOS";-;-;-;5;1;2;-;1;-;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;13
"0202080145 EXAME MICROBIOLOGICO A FRESCO (DIRETO)";-;-;-;2;-;-;-;2;-;1;1;3;1;3;3;-;1;-;-;-;-;-;-;1;-;-;-;18
"0202080153 HEMOCULTURA";2;34;236;342;405;631;230;241;111;465;509;687;938;720;562;276;284;142;79;40;43;111;171;94;46;26;-;7425
"0202080218 PESQUISA DE HELICOBACTER PYLORI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"0202090051 CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR";-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;-;-;-;-;-;-;-;4;1;2;-;-;12
"0202090060 CONTAGEM GLOBAL DE CELULAS NO LIQUOR";-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;-;-;-;-;-;-;-;1;1;-;-;-;7
"0202090124 DOSAGEM DE GLICOSE NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;8;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"0202090132 DOSAGEM DE PROTEINAS NO LIQUIDO SINOVIAL E DERRAMES";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"0202090159 ELETROFORESE DE PROTEINAS C/ CONCENTRACAO NO LIQUOR";-;-;-;1;2;1;1;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9
"0202090183 EXAME DE CARACTERES FISICOS CONTAGEM GLOBAL E ESPECIFICA DE CELULAS";-;-;-;7;3;1;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;6;1;2;-;-;24
"0202090191 MIELOGRAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0202090230 PESQUISA DE CARACTERES FISICOS NO LIQUOR";-;-;-;1;1;1;-;-;-;-;1;2;-;3;2;3;-;-;-;-;-;-;3;2;-;-;-;19
"0202090299 PROVA DO LATEX P/ HAEMOPHILLUS INFLUENZAE, STREPTOCOCCUS PNEUMONIAE, NEISSERIA MENINGITIDIS (SOROTIP";-;-;-;-;-;-;-;-;-;1;-;2;-;3;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"0202120023 DETERMINACAO DIRETA E REVERSA DE GRUPO ABO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"0202120031 FENOTIPAGEM DE SISTEMA RH - HR";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202120082 PESQUISA DE FATOR RH (INCLUI D FRACO)";-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;6
"0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)";-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;1;-;-;1;-;-;1;1;-;-;-;9
"0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL";-;-;-;1;-;-;-;1;1;-;3;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;9
"0204010080 RADIOGRAFIA DE CRANIO (PA + LATERAL)";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0204020042 RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO)";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204020050 RADIOGRAFIA DE COLUNA CERVICAL FUNCIONAL / DINAMICA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0204020093 RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL)";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0204030072 RADIOGRAFIA DE COSTELAS (POR HEMITORAX)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0204030129 RADIOGRAFIA DE TORAX (APICO-LORDORTICA)";-;-;-;-;-;-;-;-;-;-;-;2;1;6;1;1;-;-;-;1;-;-;-;-;-;-;-;12
"0204030137 RADIOGRAFIA DE TORAX (PA + INSPIRACAO + EXPIRACAO + LATERAL)";-;-;-;15;9;6;13;8;-;16;3;6;8;13;10;5;-;-;-;-;-;-;6;1;-;-;-;119
"0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL)";-;3;9;23;41;110;76;45;20;19;1;61;8;20;34;19;31;44;7;-;1;18;57;14;5;3;-;669
"0204030170 RADIOGRAFIA DE TORAX (PA)";1;41;200;369;445;435;168;307;91;529;529;618;983;745;536;313;272;110;62;38;26;74;154;74;33;11;-;7164
"0204040019 RADIOGRAFIA DE ANTEBRACO";-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0204040051 RADIOGRAFIA DE BRACO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204040060 RADIOGRAFIA DE CLAVICULA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204040094 RADIOGRAFIA DE MAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204040116 RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES)";-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"0204040124 RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA)";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0204050014 CLISTER OPACO C/ DUPLO CONTRASTE";-;-;-;3;-;3;-;-;-;1;-;9;9;-;-;-;-;4;-;-;-;-;-;-;-;-;-;29
"0204050111 RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA)";-;1;4;10;16;21;4;2;1;3;32;35;34;26;17;4;23;5;1;5;1;3;12;2;-;-;-;262
"0204050120 RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS)";-;1;-;2;1;2;-;1;1;-;3;1;2;8;12;6;4;1;-;-;-;2;1;-;1;-;-;49
"0204050138 RADIOGRAFIA DE ABDOMEN SIMPLES (AP)";-;8;14;34;57;66;34;36;9;79;48;86;193;165;147;73;64;23;11;7;5;44;47;17;10;17;-;1294
"0204060060 RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL";-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0204060079 RADIOGRAFIA DE ARTICULACAO SACRO-ILIACA";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0204060095 RADIOGRAFIA DE BACIA";-;-;-;1;-;-;-;1;-;1;-;1;1;3;2;-;-;-;-;-;-;-;1;-;-;-;-;11
"0204060109 RADIOGRAFIA DE CALCANEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"0204060117 RADIOGRAFIA DE COXA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204060125 RADIOGRAFIA DE JOELHO (AP + LATERAL)";-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;6;3;-;-;-;-;13
"0204060133 RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + AXIAL)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0204060150 RADIOGRAFIA DE PE / DEDOS DO PE";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"0204060168 RADIOGRAFIA DE PERNA";-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"0205010024 ECOCARDIOGRAFIA TRANSESOFAGICA";-;-;-;-;1;-;4;-;-;1;1;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;11
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";-;2;9;13;30;25;12;12;8;30;34;28;43;36;21;16;14;10;8;1;4;7;17;8;3;2;-;393
"0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS";-;-;3;6;6;12;5;1;10;6;12;10;22;13;16;5;5;11;1;-;1;6;9;-;2;-;-;162
"0205010059 ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"0205020011 ECODOPPLER TRANSCRANIANO";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR";-;-;-;-;1;-;-;-;-;1;1;-;1;2;1;1;-;1;-;-;-;-;1;-;-;-;-;10
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";-;1;2;1;6;5;2;3;3;-;2;7;8;16;12;3;3;3;2;2;1;4;7;2;1;1;-;97
"0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO";-;-;1;-;3;3;2;1;-;4;3;5;4;6;5;1;4;-;1;1;1;2;-;5;-;1;-;53
"0205020062 ULTRASSONOGRAFIA DE ARTICULACAO";-;-;-;1;-;-;-;-;-;-;-;-;5;2;2;-;-;-;-;-;-;-;-;-;-;-;-;10
"0205020070 ULTRASSONOGRAFIA DE BOLSA ESCROTAL";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"0205020097 ULTRASSONOGRAFIA MAMARIA BILATERAL";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";-;-;-;-;-;1;2;-;1;1;4;1;1;1;2;-;-;-;2;-;-;1;-;2;-;1;-;20
"0205020119 ULTRASSONOGRAFIA DE PROSTATA (VIA TRANSRETAL)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"0205020127 ULTRASSONOGRAFIA DE TIREOIDE";-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"0205020135 ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;3
"0205020143 ULTRASSONOGRAFIA OBSTETRICA";-;-;-;-;1;-;-;-;-;-;1;-;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;7
"0205020151 ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"0205020160 ULTRASSONOGRAFIA PELVICA (GINECOLOGICA)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"0205020186 ULTRASSONOGRAFIA TRANSVAGINAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;4
"0206010010 TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE";-;-;1;-;2;-;-;1;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;1;1;-;-;10
"0206010028 TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"0206010036 TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES";-;1;-;1;-;1;-;-;-;1;2;-;1;2;-;-;-;-;-;-;-;1;-;-;2;-;-;12
"0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO";-;-;1;1;-;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO";1;1;6;20;21;21;11;12;7;16;21;32;44;43;35;20;26;14;9;2;3;20;30;9;5;5;-;434
"0206020015 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO SUPERIOR";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0206020023 TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS APENDICULARES - (BRACO, ANTEBRACO, MAO, COXA, PERNA, PE)";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX";4;16;79;105;173;204;61;71;69;233;208;236;499;451;418;203;119;59;32;16;17;99;119;46;25;16;1;3579
"0206020040 TOMOGRAFIA DE HEMITORAX, PULMAO OU DO MEDIASTINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR";-;-;2;8;6;12;2;2;2;8;9;13;13;12;12;9;10;8;4;-;3;14;10;5;4;-;-;168
"0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR";-;-;2;6;4;6;-;3;1;4;6;7;5;8;7;3;6;4;5;-;2;13;6;6;4;-;-;108
"0207010013 ANGIORESSONANCIA CEREBRAL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"0207010030 RESSONANCIA MAGNETICA DE COLUNA CERVICAL/PESCOCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;3
"0207010048 RESSONANCIA MAGNETICA DE COLUNA LOMBO-SACRA";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"0207010056 RESSONANCIA MAGNETICA DE COLUNA TORACICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0207010064 RESSONANCIA MAGNETICA DE CRANIO";-;-;-;1;1;-;-;1;-;-;1;1;2;2;1;-;1;1;1;-;-;-;1;1;-;-;-;15
"0207020019 RESSONANCIA MAGNETICA DE CORACAO / AORTA C/ CINE";-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0207020027 RESSONANCIA MAGNETICA DE MEMBRO SUPERIOR (UNILATERAL)";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0207020035 RESSONANCIA MAGNETICA DE TORAX";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0207030014 RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR";-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"0207030022 RESSONANCIA MAGNETICA DE BACIA / PELVE / ABDOMEN INFERIOR";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0207030030 RESSONANCIA MAGNETICA DE MEMBRO INFERIOR (UNILATERAL)";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0207030049 RESSONANCIA MAGNETICA DE VIAS BILIARES/COLANGIORRESSONANCIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"0208010084 CINTILOGRAFIA SINCRONIZADA DE CAMARAS CARDIACAS EM SITUACAO DE REPOUSO (VENTRICULOGRAFIA)";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0209010010 COLANGIOPANCREATOGRAFIA RETROGRADA (VIA ENDOSCOPICA)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0209010029 COLONOSCOPIA (COLOSCOPIA)";-;-;-;1;-;1;-;-;1;-;-;-;-;3;-;-;1;-;-;-;-;-;2;2;-;-;-;11
"0209010037 ESOFAGOGASTRODUODENOSCOPIA";-;-;-;3;2;1;1;-;-;-;4;-;3;8;2;2;3;1;1;1;-;1;2;2;-;2;-;39
