  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 352440 JACAREI
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jul";"Total"
"0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO";-;-;3;1;12;6;3;31;3;3;9;6;8;8;1;4;8;3;2;-;-;23;14;2;-;1;2;153
"0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX";5;2;17;15;40;32;17;97;41;36;38;61;65;105;106;46;40;23;13;4;4;48;69;9;2;6;1;942
"0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR";-;1;1;3;8;4;-;16;3;3;-;5;2;6;2;4;4;2;1;-;-;6;6;-;-;-;-;77
"0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR";-;1;1;3;8;4;-;17;3;3;-;5;2;6;2;4;4;2;1;-;-;7;6;-;-;-;-;79
"0207010064 RESSONANCIA MAGNETICA DE CRANIO";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0207030014 RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0209010029 COLONOSCOPIA (COLOSCOPIA)";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"0209010037 ESOFAGOGASTRODUODENOSCOPIA";-;-;-;-;-;1;-;3;-;-;1;-;4;3;-;-;2;-;-;-;-;1;-;-;-;1;-;16
"0209040017 BRONCOSCOPIA (BRONCOFIBROSCOPIA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0211020036 ELETROCARDIOGRAMA";6;2;21;40;32;25;25;141;48;54;35;86;69;84;55;69;61;39;15;7;12;46;91;13;6;7;1;1090
"0211040061 TOCOCARDIOGRAFIA ANTE-PARTO";-;-;4;9;-;17;-;-;-;12;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;46
"0212010026 EXAMES PRE-TRANSFUSIONAIS I";1;-;4;8;7;9;4;47;11;17;9;22;6;30;9;13;7;9;4;3;2;6;10;15;1;-;-;254
"0212010034 EXAMES PRE-TRANSFUSIONAIS II";-;-;6;14;16;16;7;87;17;29;18;41;13;43;18;25;15;12;5;6;3;9;28;12;2;-;-;442
"0214010015 GLICEMIA CAPILAR";-;-;1;1;1;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"0214010058 TESTE RAPIDO PARA DETECCAO DE INFECCAO PELO HIV";-;-;-;-;-;1;-;8;-;1;2;2;-;4;1;2;-;2;-;-;-;2;3;-;-;-;-;28
"0301010048 CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO)";4;-;6;15;48;26;38;117;32;55;46;95;27;136;117;147;167;101;20;6;5;16;57;22;4;8;13;1328
"0301010170 CONSULTA/AVALIACAO EM PACIENTE INTERNADO";62;6;78;124;274;211;240;447;141;326;215;403;236;502;297;304;266;139;77;24;16;253;498;135;43;27;22;5366
"0301100047 CATETERISMO VESICAL DE ALIVIO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0301100055 CATETERISMO VESICAL DE DEMORA";-;-;-;-;-;-;1;-;-;2;-;1;-;1;2;-;3;-;-;-;-;-;2;-;-;-;-;12
"0301100101 INALACAO / NEBULIZACAO";22;-;15;56;-;56;27;10;-;6;-;73;6;69;30;10;139;2;-;-;-;4;10;41;-;-;-;576
"0301100110 IRRIGACAO VESICAL";-;-;-;-;7;1;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;15
"0302010033 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NEONATO";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"0302020012 ATENDIMENTO FISIOTERAPEUTICO DE PACIENTE COM CUIDADOS PALIATIVOS";28;-;-;53;-;-;-;83;-;-;9;69;-;-;-;4;6;-;-;-;-;1;-;-;24;-;-;277
"0302020020 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE ONCOLOGICO CLINICO";-;-;-;-;-;-;-;37;-;9;3;-;-;-;-;-;5;-;-;-;-;2;7;-;-;-;-;63
"0302020039 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE E POS CIRURGIA ONCOLOGICA";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS";41;-;51;121;158;91;346;2161;622;1036;475;1086;778;1466;1039;886;941;269;188;97;153;438;474;176;76;103;-;13272
"0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS";16;-;5;83;6;2;45;128;98;61;34;85;46;126;2;27;98;2;38;5;-;45;40;24;-;1;1;1018
"0302040030 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLINICO CARDIOVASCULAR";-;-;4;85;10;28;-;1914;612;787;376;896;718;1011;800;665;679;184;108;102;149;459;328;105;3;104;1;10128
"0302060022 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS COM COMPLICAC";27;-;30;57;146;60;380;112;86;263;96;183;85;557;230;233;246;61;115;-;-;-;129;105;49;-;-;3250
"0303010223 TRATAMENTO DE INFECCAO PELO CORONAVIRUS ? COVID 19";4;3;46;61;89;68;27;116;68;117;73;137;142;202;164;106;77;45;23;8;9;68;91;17;6;7;1;1775
"0305010042 HEMODIALISE CONTINUA";-;-;-;8;-;-;-;115;41;37;37;65;22;62;64;48;53;19;3;3;3;44;37;8;-;6;-;675
"0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO";-;-;-;1;9;6;-;2;-;27;-;17;2;29;2;11;-;4;4;-;-;-;-;-;-;-;-;114
"0306020041 SANGRIA TERAPEUTICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS";-;-;5;14;12;15;7;80;14;27;18;38;11;41;17;19;14;12;5;6;3;8;17;12;2;-;-;397
"0306020076 TRANSFUSAO DE CONCENTRADO DE PLAQUETAS";-;-;-;-;22;-;-;35;20;9;8;-;-;48;-;4;8;14;13;12;-;7;8;1;-;-;-;209
"0306020084 TRANSFUSAO DE CRIOPRECIPITADO";-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"0306020106 TRANSFUSAO DE PLASMA FRESCO";1;-;4;8;1;6;-;11;6;5;-;1;5;26;1;2;2;-;-;1;-;2;2;5;-;-;-;89
"0309010047 NUTRICAO ENTERAL EM ADULTO";6;-;8;32;99;61;113;604;124;258;152;349;212;419;232;224;281;107;40;17;40;95;253;33;5;14;7;3785
"0309010063 NUTRICAO ENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;15;-;-;2;12;-;-;-;-;-;-;-;-;-;26;-;-;-;55
"0309010071 NUTRICAO PARENTERAL EM ADULTO";16;-;8;16;-;-;-;24;-;1;-;-;-;1;-;-;6;1;2;-;-;-;-;-;14;-;-;89
"0309010101 PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)";2;-;4;3;7;3;6;65;17;19;8;23;15;37;21;23;27;13;5;5;5;14;22;3;1;2;1;351
"0401010015 CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO";-;-;3;4;28;61;25;12;17;19;7;14;4;45;21;28;40;1;12;1;27;32;37;-;-;5;17;460
"0401010058 EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"0401010104 INCISAO E DRENAGEM DE ABSCESSO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0406020094 DISSECCAO DE VEIA / ARTERIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;3;1;1;-;-;9
"0407040196 PARACENTESE ABDOMINAL";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0412010127 TRAQUEOSTOMIA COM COLOCACAO DE ORTESE TRAQUEAL OU TRAQUEOBRONQUICA";-;-;-;1;1;-;2;7;-;3;4;1;4;6;3;6;2;-;1;-;-;-;4;1;-;-;-;46
"0412050170 TORACOCENTESE/DRENAGEM DE PLEURA";-;-;-;1;1;-;-;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"0418010056 IMPLANTE DE CATETER DUPLO LUMEN NA IRA (INCLUI CATETER)";-;-;-;1;2;2;-;1;-;2;-;2;1;5;2;2;-;1;1;-;-;-;-;-;-;-;-;22
"0603070019 ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)";-;-;-;2;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;5;-;-;-;13
"0702050024 CANULA P/ TRAQUEOSTOMIA S/ BALAO";-;-;-;-;1;-;2;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;7
"0802010016 DIARIA DE ACOMPANHANTE ADULTO (COM PERNOITE)";10;-;-;4;-;-;-;13;-;2;3;-;-;34;-;7;4;4;-;-;-;2;2;-;-;-;-;85
"0802010024 DIARIA DE ACOMPANHANTE CRIANCA/ADOLESCENTE C/PERNOITE";-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;9
"0802010032 DIARIA DE ACOMPANHANTE DE GESTANTE C/ PERNOITE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0802010040 DIARIA DE ACOMPANHANTE DE IDOSOS C/ PERNOITE";19;3;17;21;43;49;6;100;13;14;32;31;8;19;15;6;31;12;-;17;15;36;71;12;-;11;10;611
"0802010059 DIARIA DE ACOMPANHANTE DE IDOSOS S/ PERNOITE";-;-;3;-;-;5;2;13;-;6;4;19;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;54
"0802010083 DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI II)";18;-;16;56;59;33;18;-;-;-;-;-;5;6;26;29;22;7;-;-;-;-;-;23;29;36;-;383
"0802010121 DIARIA DE UNIDADE DE TERAPIA INTENSIVA NEONATAL - UTIN (TIPO II)";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"0802010156 DIARIA DE UNIDADE DE TERAPIA INTENSIVA EM PEDIATRIA (UTI II)";-;-;-;10;-;7;-;-;-;-;2;-;3;15;-;-;-;-;-;-;-;-;-;41;-;-;-;78
"0802010199 DIARIA DE PERMANENCIA A MAIOR";7;-;13;2;59;47;16;331;22;28;24;84;34;59;29;34;45;6;-;-;7;57;102;21;-;-;-;1027
"0802010237 DIARIA DE UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL (UCINCo)";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0802010296 DIARIA DE UTI II ADULTO - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID19";-;-;-;-;-;9;114;73;229;291;183;299;316;563;362;344;321;152;83;34;36;177;279;14;-;-;-;3879
"0802010318 DIARIA DE LEITO DE SUPORTE VENTILATORIO PULMONAR";-;-;-;-;-;-;-;-;-;-;-;-;-;65;50;8;2;1;-;-;-;-;-;-;-;-;-;126
"Total";778;71;1381;3832;5223;3470;4528;21511;7132;11936;7445;13793;10264;20013;14222;11343;10818;5109;2464;1041;1472;6197;10118;2700;749;1150;213;178973
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
